question,answer
万和里的房屋品质,砖混结构小砖楼，房屋质量好，出房率也非常高，较比高层住宅实惠很多。
万海华府南苑的其他描述,万达物业自持.物业费每平米4块、
万海华府南苑的不足之处,由于本小区是刚刚交房、房主入住率不是很高、租户较多、  车位紧张
万海华府南苑的生活配套,周边有大型超市，购物广场
万海华府南苑的轨道交通,地处中心商务区、紧邻万达广场200米、距离816公交站500米、可到达塘沽老城区
万海华府南苑的小区户型,高层小区，楼间距大，采光好
万海华府南苑的小区设施,小区内有绿化，凉亭，环境优美
万科依润园的房屋品质,依润园2009年交房的，是万科的房子，房屋品质优良，外立面做的也非常不错
万科依润园的小区设施,小区内部有乒乓球台，有小花园，环境优美，到了春天小区特别漂亮，各种植物都有。
万科依润园的生活配套,小区楼下就是底商，还有万源路菜市场，还有物美超市，还有曹庄花卉市场，还有宜家家居都是不错的选择
万科依润园的轨道交通,目前在中北大道上有公交车站，还有2号线曹庄地铁站，郊区不限号，开车非常方便。给您生活提供了很大便利。
万科依润园的小区户型,依润园小区一共14栋楼，有7层，11层，18层，28层到顶的户型，排列方正，特别整齐。
万科依润园的不足之处,目前小区以南北通透的两居室为主，有部分三居室，目前没有一居室。因为是万科的房子，所以单价会稍微高一些。
万科双子座的附近学校,距离泰达实验二中二小约800米（公办）入学条件，本地区一是有本地区居民，二是有房屋租赁合同和居住证。
万科双子座的生活配套,距离泰达医院和心脑血管医院约2公里，小区门口左前方300米永旺大型超市，同时渤海银行和光大银行也在。
万科双子座的不足之处,和传统建筑不一样没有南北通透户型，部分人接受不了
万科双子座的小区户型,小区两栋高层，每栋都是三梯六户，87平米的大一室户型，86.55平米小两室户型，104平米大两室户型
万科四季花城文博园的小区设施,小区中心配有篮球场，儿童游乐中心，滑梯，秋千，沙坑等，一早一晚很多带着孩子来这边活动！
万科四季花城文博园的小区户型,小区主力户型90平米和115平米的洋房为主。8层到顶，5层到顶！
万科四季花城文博园的生活配套,小区门口100米底商有生活超市购物非常方便！
万科四季花城文博园的不足之处,小区位置目前距离张窝中心较远，小区属于改善楼盘单价较高
万科四季花城文博园的轨道交通,距离小区门口500米，有312公交站直达地铁南站，出行方便！
万科城市之光(东丽)的不足之处,绿化面积太大，入住率不高
万科城市之光(东丽)的小区户型,总楼数33栋两居80平米两室一卫三居100平米三室一卫三居115平米三室两卫三居为主力出房率85%
万科城市之光(东丽)的轨道交通,公交车28路、653路、861路、339路、机场专线4路、地铁2号线（国山路站）
万科新里程家园的居民素质,小区内居住的群体大部分都是周边大企业的员工，文化水平高，小区内居住的人群普遍偏年轻化，
万科新里程家园的不足之处,小区车位比较紧张，不是单纯的人车分流
万科新里程家园的小区户型,小区楼层总高14层到顶，户型为61平米的一室，86和88平米两居室，113和135平米三居室
万科新里程家园的生活配套,小区紧邻东五道菜市场和剑桥幼儿园，小区门口一排底商，生活比较方便。
万科新里程花园的小区设施,有小孩娱乐设施 两个小区中心有小型花园 地下车位
万科新里程花园的不足之处,房子隔音不好 车位比较紧张特别是小区门口
万科新里程花园的小区户型,63-72的一室86的全阳两室88通透两室113三室还有135洋房不带电梯
万科新里程花园的其他描述,周边口碑不错，物业管理很好
万科新里程花园的生活配套,小区出行东面就是东五道地下菜市场 走1000多米是泰山肿瘤医院.空港总医院
万科柏翠园(滨海)的生活配套,小区北侧600米是msd商圈提供金融，餐饮，娱乐，服饰等服务，北行1公里左右是泰达医院为健康保驾护航
万科柏翠园(滨海)的轨道交通,小区西门有轻轨市民广场公交站，在此可以换乘128路 506路 508路内环。128路通往方特欢乐世界
万科柏翠园(滨海)的不足之处,业主朋友来往出入不方便，物业管理的比较麻烦，个人不喜欢  车位紧张
万科柏翠园(滨海)的小区设施,小区左右各有两个小花园约半个篮球场大小，左右都有多个健身运动器材和儿童滑梯，两侧有夏季休息的木制长廊
万科柏翠园(滨海)的小区户型,小区共计4栋楼，其中2栋和3栋是越层大户型住宅220平米以上的两层。1栋和4栋三室两厅两卫户型为主。
万科水晶城凭澜园的小区设施,小区内部绿化率高，每栋楼与楼之间都有人工喷泉，小孩游乐设施
万科水晶城凭澜园的不足之处,小区车位非常紧张，没有固定车位
万科水晶城凭澜园的轨道交通,出小区南门700米是地铁六号线，北门有公交车总站
万科水晶城凭澜园的房屋品质,小区交房时间大约2006年，万科开发，毛坯交房，外沿都是红褐色墙面
万科水晶城凭澜园的生活配套,出小区南门左拐200米就是水晶菜市场，小区中心位置有超市，儿童游玩设施，健身房
万科水晶城凭澜园的小区户型,小区均为一梯两户，南北通透户型，主推大户型，140平米左右三室两厅两卫，166平米三室两厅两卫
万科水晶城揽星园的其他描述,万科自持物业，小区环境好。
万科水晶城揽星园的不足之处,物业费相对来说比较贵
万科水晶城揽星园的小区设施,内有300平商业，娱乐场所，社区诊所，内湖，可供本小区业主使用
万科海港城(一二期)的房屋品质,万科品质2015年底交房，已过两年，小区有四栋楼临高速，开发商做的双层玻璃，隔音效果好。
万科海港城(一二期)的小区设施,小区东门口处就是健身广场，面积大约500平左右。小区为地上停车方式，车位充足。
万科海港城(一二期)的附近学校,小区东门对面就是天津市实验小学，在整个天津市排名第五，为天津市重点学校，师资力量雄厚。
万科海港城(一二期)的不足之处,小区不足处有四栋楼临着沿海高速有点吵
万科海港城(一二期)的小区户型,本小区共15栋楼，已经交房26层顶。面积为88平全阳户型和89平通透小户型，89平赠北面19平小卧室
万科海港城(一二期)的房屋品质,万科品质2015年底交房，大多数没过两年，小区有四栋楼临高速，开发商做的双层玻璃，隔音效果好。
万科西华府博华苑的小区户型,西华府目前主推洋房的，7层到顶，或者11层到顶产品，116平3居2卫，125平3居2卫，150平3居
万科西华府博华苑的房屋品质,项目1期与2017年9月开盘，交房时间为2021年年底
万科西华府博华苑的小区设施,万科西华府项目自持8000平的商业，1期项目内自带业主会馆
万科西华府博华苑的不足之处,小区周边住宅项目都还迁房或者小产权房，对小区日后成为二手房没对比的项目
万科西庐学韵园的小区户型,项目有洋房和高层 7层 11层到顶，现在在售的有 93平的洋房 1梯2户
万科西庐学韵园的不足之处,小区距离地铁有点距离，不过公交可以直达
万科西庐学韵园的居民素质,居住的人员为西青大学城的教师以及家人亲戚，整体素质高
万科西庐学韵园的轨道交通,地铁：地铁3号线大学城站车行距离3.7km。可以直达南开区水上公园，市中心和平区滨江道，天津站等
万科西庐学韵园的小区设施,小区绿化高，各个年龄段的娱乐设施，
万科运河文化村的小区户型,小区均为一梯两户，南北通透，大户型，120平米三室两卫主力户型，140平米四房两室，适合改善
万科运河文化村的小区设施,小区内有900平米的绿地，绿地周边儿童玩的设施，跷跷板，儿童滑梯，很多小朋友放学后在此玩耍
万科运河文化村的不足之处,地上车位不足，造成车辆乱停乱放现象，有待物业调整解决 车位紧张
万科运河文化村的轨道交通,小区门口设有公交总站 目前公交车有733 649 319，公交两站地直达刘园地铁站
万科运河文化村的生活配套,小区东侧入口为14万平方的商业 外加三个社区乐园 儿童医院 代谢病医院均在2公里之内
万达新城普旺里的小区户型,本小区88平米 低楼层的房子好卖。
万达新城普旺里的不足之处,车位比较紧张，绿化比较少。
万达新城普旺里的轨道交通,距5号线宜兴阜北地铁站B口步行809米。
万通生态城新新园的小区设施,小区绿化率达到40%，楼栋间绿荫掩映，环境十分优美。小区内部还设有喷泉、凉亭、滑梯等设施。
万通生态城新新园的小区户型,推140平洋房6层到顶三室两厅两位南北通透，楼间距大采光无影响。
万通生态城新新园的生活配套,小区西边100米生态城二社区商业街，餐饮，大型超市，菜市场，银行，生活配套丰富齐全。
万通生态城新新园的不足之处,楼间距小，一楼采光不好，洋房总价过高
万隆桃香园的不足之处,小区环境稍微差了一些，后期正在改善
万隆桃香园的小区户型,一梯三户 60-118平米，主卧朝南，卧室带窗户 ，户型全是南北朝向
万隆桃香园的小区设施,小区内自带广场 配有健身器材 老人小孩可以放心休闲 地上车位充足 停车方便
万隆桃香园的小区设施,小区里有超市，有菜市场，随时居家生活，有1:1车位方便人人们停车
万隆桃香园的小区户型,小区主推小户型 六楼到顶砖楼 阳面卧室60-85平民 采光好
万隆桃香园的生活配套,小区北门出门向东走20米就是天穆小学和天穆骨科医院，医院在骨科方面有好多专家，医疗设备完善。
万隆花园的生活配套,出小区门向北500米就是武警医院 小区北门对过就是菜市场
万隆花园的小区设施,小区成熟社区，内有3个小花园，内有多数的娱乐健身设施，长凳，供小区居民，驻足休息，锻炼！环境较好！
万隆花园的房屋品质,本小区为2000年左右新建商品房，万隆开发集团，地上停车，顶楼带跃层
万隆花园的生活配套,出门400米武警医院，天山南路公交站，南大桥菜市场，物美超市，华润万家
万隆花园的小区户型,72㎡82㎡南北通透两室 79-89㎡双阳偏单 一居室以偏独为主
万隆花园的房屋品质,本小区为2000年左右建成，属于商品房，万隆集团开发，地上停车位， 顶楼带跃层
万隆花园的小区设施,小区为成熟的社区，内有3个公园，里面有，长凳供小区居民，驻足休息，健身器材供居民锻炼，等便民设施等齐
万隆花园的不足之处,"建造年代为1999年，小区老旧，楼梯房，小区楼栋较多  小区环境不是太好 
万隆花园,小区户型,主打户型72   82平米 南北通透两室，79 -89平米双阳偏单，一居以偏独为主
万隆花园,生活配套,小区出口位置往北500米到武警医院，小区西行300米左右南大桥菜市场，距离万达2公里左右，物美超市等
万隆花园,其他描述,小区2000年左右建筑，开发商为六大道开发商万隆集团开发，顶楼带阁楼，地上停车位户型口碑较好没物业费
万隆花园,轨道交通,小区南门门口100米内就是907总站 还有673 819等公交线路   周边地铁还在修建中
万隆花园,不足之处,楼梯房，小区楼栋较多，车位方面没有具体的规划，没有物业管理费只有清洁费，上下班高峰期交通有点堵，周边正在拆迁，看着比较乱
万隆花园,不足之处,小区目前为大型老社区，未有车位规划，早上出行，晚上8点以后车位特别紧张，小区有7个区，社区比较大周边正在拆迁，看起来比较乱，楼距相对其他小型社区比较狭窄。交通主路很容易发生堵车！
万隆花园,轨道交通,距离地铁2号线2公里离程林道300米出门是天山南路，公交车623路等通往市区非常便捷距离机场10公里
万隆花园,小区户型,主力户型为74平米两室87平米 双阳通透两室和91平三室 一室多为偏独和中独户型，两室多为双阳和通透
万隆花园,小区设施,餐厅 洗衣店 美容美发 歌舞厅 停车场  咖啡厅 阅览室 儿童游乐场
万隆花园,轨道交通,距离小区门口30米天山南路公交站341-371-623-639-679-681-819-907
三乐里,小区户型,次小区共一栋楼，分为两个门；1门2门。 主要推荐66平米两室小户型。
三乐里,生活配套,小区距绵阳道菜市场400米左右。小区周边有华润万家，建设银行，天津银行等。距离总医院1000米左右。
三乐里,不足之处,此小区仅一栋楼，没有小区环境，绿化度较差，没有停车位，基本都是停靠在马路边。
三乐里,小区户型,次小区共一栋楼，分为两个门；1门2门主要推荐66平米两室小户型
三乐里,不足之处,本小区没有小区环境比较乱
三乐里,生活配套,小区距绵阳道菜市场400米左右小区周边有华润万家，建设银行，天津银行等距离总医院1000米左右
三友里,不足之处,老小区车位配比不足，车位紧张。
三友里,小区户型,三友里小区一共有六栋楼，32个单元，主要户型为35平米一室 62平米两室 80平米三室
三友里,小区设施,三友里在22单元前面有健身器材，供给小区居民使用
三友里,生活配套,周边50米内有建行农行等多个银行，10米内有711等连锁超市，宜昌道云南路菜市场。
三友里,不足之处,老小区车位配比不足，车位紧张
三友里,轨道交通,100米内有地铁三号线西康路站，周边100米内有何兴村公交站等多个公交站，交通便利。
三友里,附近学校,三友里属于西康路小学，距西康路小学八百米.西康路小学是一所全日制国办学校。
三友里,小区设施,内部有多个小花园，健身设施，垃圾分类投放站，小区内可停车。
三友里,轨道交通,100米内有地铁三号线西康路站，周边100米内有何兴村公交站等多个公交站，交通便利
三友里,小区户型,小区有独单两室三室，中间两排为商品房，一室主要是42平带厅阳面大独单，两室多为南北通透65-69平
三友里,居民素质,居民素质高，文明模范小区
三戒里,不足之处,小区老旧，没有物业，车位紧张
三戒里,轨道交通,距离地铁3号线中山路地铁站800米左右，黄纬路公交车站50米。
三戒里,附近学校,三戒里小区对应河北区扶轮小学，距离学校70米，初中对应天津二中。
三戒里,小区户型,本小区/代/办过户，中/介/费1个点.有6层到顶的，有7层到顶的.主/推小户型。
三戒里,生活配套,距离海河全球购800米。河北区十月市场1000米
三星里,小区户型,小区共20栋楼，主推40平米左右一室以及56平米左右两室，19至20栋楼，楼龄比较新为80以上大户型
三星里,不足之处,老城区小区没有物业绿化，不如现在的新房
三星里,小区设施,2号楼附近有个小花园，还在各种健身器材可以做运动
三星里,轨道交通,小区北门步行500米到轻轨九号线，从小区南门到河北路公交站有110，501通往外滩公园交通便利
三星里,生活配套,小区楼下紧邻菜市场，大型超市华润万家，国美电器向阳诊所，金融街购物中心
三星里,居民素质,本小区离学校近送孩子方便，离菜市场也近买菜更方便，适合已婚有孩子有老人一起居住
三春里,不足之处,小区房龄有点老，小区门口容易堵车；
三春里,生活配套,出门50米胜利超市、国美；向南100米一商友谊；向西50米南方商厦，福港商场；向北100米迎宾超市
三春里,轨道交通,出西门50米即522路；北门100米即161、688、652、130、523、548、948路
三春里,附近学校,大港九小，重点小学；大港七中，重点初中；
三春里,小区户型,一梯三户，30-75平，南北通透户型
三水南里,轨道交通,小区出口50米为双水道公交车站，有866、808路等，
三水南里,附近学校,小学是三水道小学，属于河西区第三片区重点学片，对口中学有四中，四十二中，十三中等，
三水南里,小区户型,小区主要是6楼到顶的小砖房、62平南北通透两室、两排2楼到顶的房子
三水南里,不足之处,小区房龄比较老化、车库紧张
三水南里,附近学校,该小区为三水道小学、市重点小学、师资雄厚、可凭摇号方式进十三中、四十二中学
三水南里,居民素质,本小区大多老人带小孩，邻里关系和睦，租户很少，整体素质较高，环境很安静。
三水南里,小区户型,小区主力户型为61-62平米左右两室，和40平米左右一室，全部为砖混结构
三水南里,附近学校,本小区对应三水道小学，就在小区内，从北门进来200米就是.
三水南里,小区户型,小区为小砖楼，主力户型为63平米两室，40平米一室，
三水南里,生活配套,小区出口300米为人人乐大型超市，出口200米为三水道菜市场、
三水南里,生活配套,位于小区东南方向150米处有人人乐购物中心、
三水南里,生活配套,小区向东500米就是人人乐大型超市，南门向东100米就是津工超市
三水南里,不足之处,车位相对较少，房龄在30年左右
三水南里,不足之处,小区房龄老，楼间距小。
世纪新村,附近学校,小区250米出泰达二幼，1.2公里国际学校九年制学院。师资力量强大。
世纪新村,其他描述,小区世纪物业，物业费0.4元每平米，每天都有人打扫卫生。
世纪新村,小区户型,小区共10栋A-K座，8栋南北向2栋东西向6层顶没电梯，主要户型92平通透两室、147平米通透三室。
世纪新村,不足之处,小区房龄老旧，没有电梯，没有地下车位，车位紧张。
世纪新村,生活配套,小区东侧300米泰达体育场健身运动，1.5公里开发区乐购购物商城。
东丽湖万科城慕湖苑,轨道交通,所在小区距离公交站 步行1000米，公交路线 373路，690路，696路，663路，574路
东丽湖万科城慕湖苑,生活配套,慕湖苑门口有万科自建商业，有菜市场 超市  各种药店，小区距离商业1000米，生活购物比较方便 。
东丽湖万科城慕湖苑,小区户型,小区均为电梯高层，2梯4户，26层到顶的，主要是85平的全阳两室，95平的通透两室，100平的三室。
东丽湖万科城慕湖苑,不足之处,小区车位少  租客比较多
东丽湖万科城慕湖苑,附近学校,门口800米幼儿园，2所公立小学 分别是华侨城实验学校，东丽区实验学校，一所私立学校北大附中
东丽湖万科城慕湖苑,小区设施,小区中心有绿地，绿化率45% 内部设有儿童娱乐设施老人健身器材，很多小朋友放学后去玩耍，老人去钓鱼
东丽湖万科城揽城苑,小区设施,小区绿化率40％，绿地周边设有儿童娱乐设施，篮球场和足球场，一些健身器材，很大程度上满住户的休闲需求
东丽湖万科城揽城苑,不足之处,小区车位比较少 物业已经在调整了
东丽湖万科城揽城苑,轨道交通,所在小区距离公交站 步行1000米，公交路线 373路，690路，696路，663路，574路
东丽湖万科城揽城苑,小区户型,小区均为两梯四户，有74m2一室，80m2中户两室，90m2南北通透两室，，适合生活刚需
东丽湖万科城揽城苑,生活配套,赏溪苑门口有万科自建商业，有菜市场 超市  各种药店，小区距离商业1000米，生活购物比较方便 。
东丽湖万科城阅溪苑,不足之处,交通不太方便离市里挺远的
东丽湖万科城阅溪苑,其他描述,物业费：3.15"
东屏园的轨道交通,距地铁二号线顺.驰桥站25米，可直接到达滨海国际机场，坐两站地到达天津站可换乘3.9.号线
东方环球影城的生活配套,小区向北五百米是永旺购物商场，五层高，一二层均有美食及小孩游乐场所还有很多品牌服装店，三层是电影院
东方环球影城的轨道交通,向北900米到达曹庄地铁站，经7站到达西南角可换乘1号线，经12站到达天津火车站可换乘3号与9号线
东方环球影城的小区户型,小区主推48平米复式，2梯18户，24层到顶，楼间距大，无遮挡，采光好。
东方环球影城的不足之处,小区目前居住人口不是太多，很多家都在装修，所以目前环境比较乱，目前绿化较少
东方环球影城的不足之处,小区绿化少，租户太多了，装修的也多比较吵
东方环球影城的不足之处,小区目前绿化少 租户较多 小区现装修住户多 比较吵
东方环球影城的小区设施,小区设有4000余个车位，车位充足，小区门口欧式风格喷泉
东方环球影城的小区设施,小区设有4000余个车位，车位充足，小区门口欧式风格喷泉。
东方环球影城的轨道交通,距曹庄地铁站2号线五百米经7站到西南角站可换乘地铁1号线经12站天津火车站可换地铁3号线和9号线
东方环球影城的生活配套,永旺梦乐城超市在小区东北七百米处，热带植物观光园在小区东侧400米处，生活娱乐都很便利
东方环球影城的生活配套,永旺梦乐城超市在小区东北七百米处，热带植物观光园在小区东侧400米处，生活娱乐都很便利。
东方环球影城的生活配套,小区向北行驶一公里是永旺大型购物商城，五层高，一层有各种美食，二层各种品牌服装店，三层是中影国际影城
东方环球影城的小区户型,小区主推平层68平米南北通透户型3梯8户18层到顶，楼间距大，采光好，视野开阔可观南运河，适合做婚房
东方环球影城的轨道交通,小区向北直行一公里就到地铁站2号线曹庄站，经四站到长虹公园地铁站可换乘地铁6号线。
东旺家园的不足之处,小区为还迁房，租户较多。
东旺家园的小区户型,东旺家园小区共有10栋楼，全部为高层建筑，楼间距在55米左右，主推小面积户型。
东旺家园的小区设施,小区内部设有健身设施场地约1000平米，花园凉亭，老年活动中心均有。
东旺家园的生活配套,生活配套非常齐全，一公里内社区医院，月坛商厦，华润超市，月坛海鲜城。
东海云天的轨道交通,"门口是大连东道西行1000米是轻轨9号线市民广场站，早晚高峰轻轨路上有点堵
东海云天,居民素质,小区老人和小孩会相对多一些住户多数是以三代人为主，因为房龄新小区年轻"
东海云天的小区户型,"东海云天小区建筑结构风格,实属欧日式小区.主要楼栋户型是全阳一室.南北通透两室.一共就6栋"
东海云天的不足之处,小区绿化相对较少.....
东海云天的小区设施,"小区内设有花园约800平.民族幼儿园、车位都是地上车位内部超市就在进门口附
东海云天,生活配套,小区西南步行八百米有新城家园菜市场，生活用品很便利"
东海里的轨道交通,多路公交车通往市中心，周边还有华山里地铁站，距小区南侧200米是珠江道。
东海里的生活配套,距小区400米是天津市第四院、人人乐超市、医疗设施齐全，购物也非常方便。
东海里的不足之处,小区房龄较老，车位非常紧张。
东瑞家园的其他描述,小区物业是嘉华物业。物业费1.35元/平
东瑞家园的生活配套,小区外200米有东安菜市场  可供小区居民买菜 还有东安商业广场 各大银行
东瑞家园的小区户型,东瑞家园32层到顶 有三梯六户和三梯八户。47平一室、62平89平两室 为主力户型
东瑞家园的不足之处,地上车位紧张。车位不足
东瑞家园的附近学校,小区北侧200米距离有凤凰小学。这所学校属于河东实验教育集团。师资力量雄厚。1-6年级。
东瑞家园的小区设施,小区里有凉亭 凉亭设有象棋桌供老人休闲娱乐 健身设施齐全。更有小区中心花园。
中交海河公馆的不足之处,小区周围因为主干道、小区内绿化少
中交海河公馆的小区户型,在售户型52 79 85 97 104 108 122 128平、32层到顶、楼间距60米、采光好
中交海河公馆的小区户型,户型一般是一室52-79平，两室85-108平，三室122-128平。
中交海河公馆的居民素质,业主多为高素质人群很少有租户期房。
中交海河公馆的其他描述,绿城物业每平米4元，保安全天巡逻出门查岗，安全性能高。
中交海河公馆的房屋品质,2019年3月16日开盘，交房时间2021年12月31日开发商中交建设公司墙体保温隔热大型国企。
中交海河公馆的小区户型,小区共三栋，在售户型52，79，85，97，107，122，128平米，32层到顶
中交海河公馆的生活配套,小区南侧距离800米到南开大悦城，东南侧距离600米到南市食品街
中交海河公馆的轨道交通,"地铁盖物业——4,7,12三条地铁汇合，距离小区300米左右紧邻天津东站，西站。"
中交海河公馆的小区户型,"在售户型52/79/85/97/104/108/122/128平,32层到顶楼间距60米采光通风"
中交海河公馆的轨道交通,东侧距离400米到东北角地铁站
中交海河公馆的生活配套,项目北侧1公里内商业：大悦城.新世界.乐天.家乐福.古文化街.鼓楼.陆家嘴中心.医疗：医大总医院等
中交海河公馆的附近学校,小区属于南开中营小学片，始建于1905年（清光绪31年）以勤、朴、敏、健、为办学理念，师资力量雄厚
中交海河公馆的不足之处,小区绿化少，小区临主干道 车位紧张
中交海河公馆的不足之处,车位紧张
中交海河公馆的轨道交通,小区出门向南走500米地铁2号线东北角站，向北走1000米地铁一号线西北角站，轨道交通非常方便。
中交海河公馆的其他描述,绿城物业 每平米4元、保安全天巡逻出门查岗、安全性高
中交海河公馆的轨道交通,地铁：4/7/12号线东北角换乘站.三线交汇，2/3号线步行500米
中交海河公馆的生活配套,小区南侧距离800米到南开大悦城，东南侧距离600米到南市食品街。
中交海河公馆的不足之处,小区由于周边都是高层和主要交通干道所以绿化较少。  车位紧张
中交海河公馆的不足之处,项目属于期房产品，买完不能马上
中交海河公馆的小区户型,"在售户型52/79/85/97/104/108/122/128平,32层到顶楼间距60米采光通风。"
中交海河公馆的其他描述,绿城物业 物业费4元，保安全天巡逻出门查岗安全性很高。
中交海河公馆的房屋品质,开盘时间2019年3月16号，交房时间2021年12月31号，墙体以钢混为建筑原料，外墙有保温防水层
中交海河公馆的轨道交通,地铁；4 7 12号线东北角换乘站、三线交汇、2 3号线步行500米
中天城市风景的附近学校,该小区南100米为宝坻十一中，属于区重点初中；该小区西500米为宝坻一中，属于区重点高中。
中天城市风景的小区户型,该小区由22栋花园洋房和8栋小高层组成，洋房分别为四层.四层板.五层；小高层分为九层和十一层。
中天城市风景的不足之处,该小区08年正式启动一期建设，2010年交房，小区房屋较老
中天城市风景的轨道交通,该小区东门100米为593公交站，乘坐11站可到达劝宝超市西门站，在此可换乘591.592路公交。
中山大厦的小区户型,小区就有一栋楼，31层到顶高层，面积在55-140平米。6梯16户
中山大厦的轨道交通,楼下距离50米地铁三号线中山路站，20米辰纬路公交车站，路线达10多条，500米有北站地铁6号线，
中山大厦的轨道交通,向南400米是中山路地铁站3号线，可以换乘6号.9号地铁
中山大厦的附近学校,对口新开小学。小学师资力量雄厚，
中山大厦的不足之处,小区面积小，停车位不足，没有绿化
中山大厦的不足之处,小区绿化不足。车位紧张。
中山大厦的生活配套,距离300米有十月市场，中山路商业街，50米乾华园底商也有小吃和部分商铺
中山大厦的小区户型,中山大厦是子母楼，双子塔结构，可以说就一栋栋楼，户型有1室面积55-72平，2室104-127平，
中山门东里的轨道交通,距轻轨9号线中山门站800米、小区入口有642、643公交线
中山门东里的小区户型,总计18栋住宅楼，主力户型45左右平米田字格居多，一层4户小砖楼7层到顶一层4户 楼间距20米左右
中山门东里的小区设施,小区为流动停车位，西北侧有小花园，每栋楼下都有固定居民饮水装置。
中山门东里的生活配套,20米中山门小医院 派出所 肯德基 100米中山门轻轨站 200米菜市场 公园距离200米
中山门东里的不足之处,小区楼间距窄，一层户数比较多 老小区  车位紧张
中山门南里的居民素质,居民素质高，居住群体多为年轻人。
中山门南里的生活配套,小区北门300米就是华润万家超市，周边各种小吃，超市非常完善，麦当劳，肯德基距离中山门公园200米
中山门南里的小区户型,此小区共有23栋楼，砖楼6层到顶，高层共有两栋18层到顶，砖楼一梯三户，45平米的一室60到90两室
中山门南里的轨道交通,距离轻轨九号线200米，前面就是津塘公路，公交线路众多
中山门南里的不足之处,绿化少，无固定车位，无物业  车位紧张
中建城崇和湾的小区户型,小区共18栋楼，4栋高层，14栋七层到顶洋房，88平米两室，113平米三室130平米四室。
中建城崇和湾的轨道交通,小区南门出门右转100米是西中环快速路，可以到达天津大道，无论去市区或是临港工业区都很方便。
中建城崇和湾的小区设施,内部健身器械，休闲长廊，儿童娱乐设施，一应俱全。
中建城崇和湾的不足之处,目前周边生活配套设施不是很完善
中建城崇和湾的附近学校,小区南门出门右转，沿津同道过两个红绿灯可到达塘沽一中，九年一贯制学校。接送孩子很方便。
中建海纳府的其他描述,物业是中建物业，小区物业费是3.62元/平米/月
中建海纳府的附近学校,周边有天津华夏未来小学，重点小学，师资力量雄厚，教学质量高
中建海纳府的不足之处,物业费贵，总房价比较高，交通不是很方便
中建海纳府的生活配套,小区距离二社区商业中心仅有一千米左右包含热.卖超市，蔬菜水果超市，小饭馆等等生活非常便利！
中建海纳府的小区户型,建筑面积约100-120㎡墅区洋房，100平米的三室两厅一卫，120平米的三室两厅两卫，6-8层到顶
中建海纳府的小区设施,车位比是1:1.1，车位数是1121，小区绿化率40%
中建璟秀璟璘苑的轨道交通,距离小区100米有公交站，112、627和131三路公交，可直达外滩，响锣湾，万达广场和大港等地区
中建璟秀璟璘苑的不足之处,小区目前周边商业配套较少
中建璟秀璟璘苑的小区户型,小区是洋房和别墅的低密度社区，南北通透，小区洋房均是一梯两户电梯入户户型，适合改善人群
中建璟秀璟璘苑的生活配套,小区紧邻海河公园，出门即可到达公园和红色连廊桥
